date,area,category
2026-11-06,下連雀2丁目,空きびん・缶
2026-11-09,下連雀2丁目,燃やせるごみ
2026-11-10,下連雀2丁目,プラスチック・有害ごみ
2026-11-12,下連雀2丁目,燃やせるごみ
2026-11-13,下連雀2丁目,古紙・古着
2026-11-13,下連雀2丁目,ペットボトル
2026-11-16,下連雀2丁目,燃やせるごみ
2026-11-17,下連雀2丁目,プラスチック・有害ごみ
2026-11-18,下連雀2丁目,燃やせないごみ
2026-11-19,下連雀2丁目,燃やせるごみ
2026-11-20,下連雀2丁目,古紙・古着
2026-11-20,下連雀2丁目,空きびん・缶
2026-11-23,下連雀2丁目,燃やせるごみ
2026-11-24,下連雀2丁目,プラスチック・有害ごみ
2026-11-26,下連雀2丁目,燃やせるごみ
2026-11-27,下連雀2丁目,古紙・古着
2026-11-27,下連雀2丁目,ペットボトル
2026-11-30,下連雀2丁目,燃やせるごみ
2026-12-01,下連雀2丁目,プラスチック・有害ごみ
2026-12-02,下連雀2丁目,燃やせないごみ
2026-12-03,下連雀2丁目,燃やせるごみ
2026-12-04,下連雀2丁目,古紙・古着
2026-12-04,下連雀2丁目,空きびん・缶
2026-12-07,下連雀2丁目,燃やせるごみ
2026-12-08,下連雀2丁目,プラスチック・有害ごみ
2026-12-10,下連雀2丁目,燃やせるごみ
2026-12-11,下連雀2丁目,古紙・古着
2026-12-11,下連雀2丁目,ペットボトル
2026-12-14,下連雀2丁目,燃やせるごみ
2026-12-15,下連雀2丁目,プラスチック・有害ごみ
2026-12-16,下連雀2丁目,燃やせないごみ
2026-12-17,下連雀2丁目,燃やせるごみ
2026-12-18,下連雀2丁目,古紙・古着
2026-12-18,下連雀2丁目,空きびん・缶
2026-12-21,下連雀2丁目,燃やせるごみ
2026-12-22,下連雀2丁目,プラスチック・有害ごみ
2026-12-24,下連雀2丁目,燃やせるごみ
2026-12-25,下連雀2丁目,古紙・古着
2026-12-25,下連雀2丁目,ペットボトル
2026-12-28,下連雀2丁目,燃やせるごみ
2027-01-04,下連雀2丁目,燃やせるごみ
2027-01-05,下連雀2丁目,プラスチック・有害ごみ
2027-01-06,下連雀2丁目,燃やせないごみ
2027-01-07,下連雀2丁目,燃やせるごみ
2027-01-08,下連雀2丁目,古紙・古着
2027-01-08,下連雀2丁目,空きびん・缶
2027-01-11,下連雀2丁目,燃やせるごみ
2027-01-12,下連雀2丁目,プラスチック・有害ごみ
2027-01-14,下連雀2丁目,燃やせるごみ
2027-01-15,下連雀2丁目,古紙・古着
2027-01-15,下連雀2丁目,ペットボトル
2027-01-18,下連雀2丁目,燃やせるごみ
2027-01-19,下連雀2丁目,プラスチック・有害ごみ
2027-01-20,下連雀2丁目,燃やせないごみ
2027-01-21,下連雀2丁目,燃やせるごみ
2027-01-22,下連雀2丁目,古紙・古着
2027-01-22,下連雀2丁目,空きびん・缶
2027-01-25,下連雀2丁目,燃やせるごみ
2027-01-26,下連雀2丁目,プラスチック・有害ごみ
2027-01-28,下連雀2丁目,燃やせるごみ
2027-01-29,下連雀2丁目,古紙・古着
2027-01-29,下連雀2丁目,ペットボトル
2027-02-01,下連雀2丁目,燃やせるごみ
2027-02-02,下連雀2丁目,プラスチック・有害ごみ
2027-02-03,下連雀2丁目,燃やせないごみ
2027-02-04,下連雀2丁目,燃やせるごみ
2027-02-05,下連雀2丁目,古紙・古着
2027-02-05,下連雀2丁目,空きびん・缶
2027-02-08,下連雀2丁目,燃やせるごみ
2027-02-09,下連雀2丁目,プラスチック・有害ごみ
2027-02-11,下連雀2丁目,燃やせるごみ
2027-02-12,下連雀2丁目,古紙・古着
